Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Saraswati: Goddess of Knowledge and Wisdom,SWBP 125,$1624.50,$1805.00,Available,https://nidhiratna.com/products/saraswati-goddess-of-knowledge-and-wisdom,2025-06-10
Medicine Buddha: Healing Light of Compassionate Wisdom,MBBP 105,$850.50,$945.00,Available,https://nidhiratna.com/products/medicine-buddha-healing-buddha-statue,2025-06-10
White Tara Goddess Statue,WTBP 106,$661.50,$735.00,Available,https://nidhiratna.com/products/white-tara-goddess-statue,2025-06-10
Mitrugpa: The Imperturbable Buddha,MGBP 107,,,Sold Out,https://nidhiratna.com/products/mitrugpa-the-imperturbable-buddha,2025-06-10
White Tara: The Embodiment of Wisdom and Compassion,WTA 88,$2731.50,$3035.00,Available,https://nidhiratna.com/products/white-tara-statue-mother-tara,2025-06-10
Divine Medicine Buddha Statue,MBBP 89,$2340.00,$2600.00,Available,https://nidhiratna.com/products/divine-medicine-buddha-statue,2025-06-10
Chenrezig: The Embodiment of Compassion,CHA 87,$2785.50,$3095.00,Available,https://nidhiratna.com/products/chenrezig-statue-buddhist-statue,2025-06-10
Namgyalma: The Goddess of Longevity and Purification,NGBP 108,$850.50,$945.00,Available,https://nidhiratna.com/products/namgyalma-the-goddess-of-longevity-and-purification,2025-06-10
Green Tara: The Swift Savior and Compassionate Mother,GTBP 109,,,Sold Out,https://nidhiratna.com/products/green-tara-the-swift-savior-and-compassionate-mother,2025-06-10
Maitreya Buddha: The Future Buddha,MBBP 121,$1170.00,$1300.00,Available,https://nidhiratna.com/products/maitreya-buddha-the-future-buddha-statue,2025-06-10
The Sacred Deity Namgyalma,NGBP 122,$1624.50,$1805.00,Available,https://nidhiratna.com/products/the-sacred-deity-namgyalma-statue,2025-06-10
Chenrezig: The Embodiment of Infinite Compassion,CHBP 111,,,Sold Out,https://nidhiratna.com/products/chenrezig-the-embodiment-of-infinite-statue,2025-06-10
"Vajrasattva: The Purifier of Body, Speech, and Mind",VSBP 112,$3145.50,$3495.00,Available,https://nidhiratna.com/products/vajrasattva-the-purifier-of-body-speech-and-mind,2025-06-10
Manjushri: The Bodhisattva of Wisdom and Insight,MSBP 110,,,Sold Out,https://nidhiratna.com/products/manjushri-the-bodhisattva-of-wisddom-statue,2025-06-10
