Title,SKU,Sale_Price,Regular_Price,Availability,Link,Date
Majestic Mahakala Bernagchen Statue,MBBR 195,$844.00,$1055.00,Available,https://nidhiratna.com/products/majestic-mahakala-bernagchen-statue,2025-06-06
Magnificent Singha Mukha Statue,SMBR 196,$1016.00,$1270.00,Available,https://nidhiratna.com/products/magnificent-singha-mukha-statue,2025-06-06
The Timeless Beauty of the Oxidized Green Tara Statue,GTBR 197,$844.00,$1055.00,Available,https://nidhiratna.com/products/the-timeless-beauty-of-the-oxidized-green-tara-statue,2025-06-06
Exquisite Chenrezig Statue,CHBR 198,$844.00,$1055.00,Available,https://nidhiratna.com/products/exquisite-chenrezig-statue,2025-06-06
Crafting Serenity: The Green Tara Statue,GTBR 199,$2664.00,$3330.00,Available,https://nidhiratna.com/products/crafting-serenity-the-green-tara-statue,2025-06-06
Chenrezig: The Bodhisattva of Boundless Compassion,CHBP 143,,,Sold Out,https://nidhiratna.com/products/chenrezig-the-bodhisattva-statue,2025-06-06
Green Tara: The Compassionate Savior,GTBP 144,,,Sold Out,https://nidhiratna.com/products/green-tara-the-compassionate-savior-statue,2025-06-06
Manjushri: The Radiant Dispeller of Ignorance,MSBP 145,,,Sold Out,https://nidhiratna.com/products/manjushri-the-radiant-dispeller-of-ignorance,2025-06-06
Amitayus Buddha: Guardian of Immeasurable Lifespan,ATBP 147,$672.00,$840.00,Available,https://nidhiratna.com/products/amitayus-buddha-statue-budhha,2025-06-06
The Golden Throne: Symbol of Divine Sovereignty,THBP 148,$928.00,$1160.00,Available,https://nidhiratna.com/products/the-golden-throne-symbol-of-divine-sovereign,2025-06-06
Amitabha Buddha: Enthroned in Infinite Light,ABBP 149,$1528.00,$1910.00,Available,https://nidhiratna.com/products/amitabha-buddha-enthroned-statue,2025-06-06
Amitayus Buddha: Eternal Radiance on the Golden Seat,ATBP 150,$1528.00,$1910.00,Available,https://nidhiratna.com/products/amitayus-buddha-eternal-statue,2025-06-06
Chenrezig on the Lotus Throne: Symbolism and Devotion,CHBP 151,$1528.00,$1910.00,Available,https://nidhiratna.com/products/chenrezig-on-the-lotus-throne-statue,2025-06-06
Green Tara on the Throne: Guardian of Compassion and Protection,GTBP 152,,,Sold Out,https://nidhiratna.com/products/green-tara-mother-tara-statue-1,2025-06-06
Manjushri on the Throne: The Embodiment of Wisdom and Enlightenment,MSBP 153,,,Sold Out,https://nidhiratna.com/products/manjushri-bodhisattva-statue,2025-06-06
Amitayus on the Lotus Throne: The Buddha of Infinite Life and Boundless Light,ATBP 154,$1528.00,$1910.00,Available,https://nidhiratna.com/products/amitayus-on-the-lotus-throne-statue,2025-06-06
